,Vernier,Cam,L,Lambda,Lp,Ld,Time
0,-0.0,0.6507111984445119,1.6312351081829317,1.2933338139608463,1.6165205489214445,1.6459496674444187,9.953387022018433
1,-0.0,0.6417792596194177,1.634081330334202,1.2953092226710377,1.6165205489214445,1.6525452069723772,0.3570423126220703
2,-0.0,0.5289828117141994,1.635596477604979,1.3008726677466553,1.6055800413417223,1.665883427918705,0.3570411205291748
3,-0.0,0.7719937952910382,1.637235121797016,1.2955081552053294,1.614323533026528,1.6603696680200613,0.35803747177124023
4,-0.0,0.7927403366188039,1.6495061066557373,1.3015550023816291,1.6198611573969377,1.6806122844992195,0.36403441429138184
5,-0.0,0.7246042562686429,1.6354065632971009,1.2959566020189957,1.6088304915777774,1.6603696680200613,0.3580448627471924
6,-0.0,0.7352896033196575,1.6335452617261146,1.2902476168127057,1.614323533026528,1.6525452069723772,0.3570444583892822
7,-0.0,0.6900465995431098,1.6401918966690374,1.29721884216064,1.6287435938720565,1.6525452069723772,0.3610358238220215
8,-0.0,0.736776998688932,1.6401004429198454,1.2950118918409559,1.6276393334196315,1.6525452069723772,0.36103343963623047
9,-0.0,0.6240787689888243,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.665883427918705,0.3560476303100586
10,-0.0,0.8003358712823282,1.6410509666240813,1.2996109450322775,1.6198611573969377,1.673814385027647,0.3570120334625244
11,-0.0,0.7807815915002909,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6537217391861345,0.35804271697998047
12,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.3590712547302246
13,-0.0,0.6333091234070878,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6603696680200613,0.3580448627471924
14,-0.0,0.7269322666627729,1.6410509666240813,1.2996109450322775,1.6287435938720565,1.6603696680200613,0.3590407371520996
15,-0.0,0.6787926853695883,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6603696680200613,0.35807085037231445
16,-0.0,0.6150556395834957,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6726272037234893,0.35804128646850586
17,-0.0,0.7248495792798489,1.6410509666240813,1.2996109450322775,1.6088304915777774,1.6603696680200613,0.3590419292449951
18,-0.0,0.6787926853695883,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6603696680200613,0.35903167724609375
19,-0.0,0.7732454679593964,1.6410509666240813,1.2996109450322775,1.6276393334196315,1.6603696680200613,0.36006736755371094
20,-0.0,0.6333091234070878,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6603696680200613,0.3590409755706787
21,-0.0,0.7161809221737154,1.6410509666240813,1.2996109450322775,1.614323533026528,1.665883427918705,0.36302900314331055
22,-0.0,0.6882935188300277,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6537217391861345,0.35800743103027344
23,-0.0,0.7248495792798489,1.6410509666240813,1.2996109450322775,1.6088304915777774,1.6603696680200613,0.3580741882324219
24,-0.0,0.6787926853695883,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6603696680200613,0.35701560974121094
25,-0.0,0.7161809221737154,1.6410509666240813,1.2996109450322775,1.614323533026528,1.665883427918705,0.36003613471984863
26,-0.0,0.6882935188300277,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6537217391861345,0.35807275772094727
27,-0.0,0.6052793970622697,1.6410509666240813,1.2996109450322775,1.624270955283513,1.6459496674444187,0.35904908180236816
28,-0.0,0.8195897844129293,1.6410509666240813,1.2996109450322775,1.6265394184859767,1.6603696680200613,0.35803961753845215
29,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.3560481071472168
30,-0.0,0.6420961022923485,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6537217391861345,0.35701560974121094
31,-0.0,0.7161809221737154,1.6410509666240813,1.2996109450322775,1.614323533026528,1.665883427918705,0.35508179664611816
32,-0.0,0.6882935188300277,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6537217391861345,0.36898303031921387
33,-0.0,0.5958370882967651,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6525452069723772,0.35508155822753906
34,-0.0,0.5490423445695981,1.6410509666240813,1.2996109450322775,1.6066856757007013,1.6537217391861345,0.4278533458709717
35,-0.0,0.6333091234070878,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6603696680200613,0.35705089569091797
36,-0.0,0.5702745334330931,1.6410509666240813,1.2996109450322775,1.6253841895080519,1.673814385027647,0.3560464382171631
37,-0.0,0.6420961022923485,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6537217391861345,0.3540201187133789
38,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.35508060455322266
39,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.3550539016723633
40,-0.0,0.6275365766135991,1.6410509666240813,1.2996109450322775,1.6165205489214445,,0.3540503978729248
41,-0.0,0.7534590088898575,1.6410509666240813,1.2996109450322775,1.614323533026528,1.673814385027647,0.3560483455657959
42,-0.0,0.530945999420602,1.6410509666240813,1.2996109450322775,1.6055800413417223,1.665883427918705,0.35502123832702637
43,-0.0,0.6533189603271048,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6818073397206026,0.3580765724182129
44,-0.0,0.6338533408353935,1.6410509666240813,1.2996109450322775,1.624270955283513,1.6603696680200613,0.3560464382171631
45,-0.0,0.7807815915002909,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6537217391861345,0.3560152053833008
46,-0.0,0.6420354962862342,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6525452069723772,0.35704588890075684
47,-0.0,0.7740198621991328,1.6410509666240813,1.2996109450322775,1.6343707148493904,1.6603696680200613,0.3550746440887451
48,-0.0,0.6876930391968838,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6537217391861345,0.36902332305908203
49,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.35501646995544434
50,-0.0,0.7807815915002909,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6537217391861345,0.35707545280456543
51,-0.0,0.7269322666627729,1.6410509666240813,1.2996109450322775,1.6287435938720565,1.6603696680200613,0.35804247856140137
52,-0.0,0.6420354962862342,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6525452069723772,0.35704541206359863
53,-0.0,0.6882935188300277,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6537217391861345,0.3580434322357178
54,-0.0,0.7358790965129898,1.6410509666240813,1.2996109450322775,1.6287435938720565,1.6537217391861345,0.3560173511505127
55,-0.0,0.6615539646459415,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.673814385027647,0.3570845127105713
56,-0.0,0.7817393486078495,1.6410509666240813,1.2996109450322775,1.6198611573969377,1.6525452069723772,0.357036828994751
57,-0.0,0.6233512717363979,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.665883427918705,0.35804319381713867
58,-0.0,0.5950287893670495,1.6410509666240813,1.2996109450322775,1.6055800413417223,1.6537217391861345,0.35807347297668457
59,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.358013391494751
60,-0.0,0.7534590088898575,1.6410509666240813,1.2996109450322775,1.614323533026528,1.673814385027647,0.35707736015319824
61,-0.0,0.7550675807858047,1.6410509666240813,1.2996109450322775,1.6276393334196315,1.673814385027647,0.3570129871368408
62,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.35704541206359863
63,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.35807180404663086
64,-0.0,0.7161809221737154,1.6410509666240813,1.2996109450322775,1.614323533026528,1.665883427918705,0.3560183048248291
65,-0.0,0.6413413145391577,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6525452069723772,0.3570554256439209
66,-0.0,0.6420961022923485,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6537217391861345,0.3570539951324463
67,-0.0,0.5863052090075257,1.6410509666240813,1.2996109450322775,1.6055800413417223,1.6603696680200613,0.35804200172424316
68,-0.0,0.6787926853695883,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6603696680200613,0.3570432662963867
69,-0.0,0.6413413145391577,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6525452069723772,0.35704755783081055
70,-0.0,0.736221629274401,1.6410509666240813,1.2996109450322775,1.6276393334196315,1.6525452069723772,0.35701417922973633
71,-0.0,0.6615539646459415,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.673814385027647,0.3560483455657959
72,-0.0,0.6876930391968838,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6537217391861345,0.3580436706542969
73,-0.0,0.7269322666627729,1.6410509666240813,1.2996109450322775,1.6287435938720565,1.6603696680200613,0.35807251930236816
74,-0.0,0.5964585993652847,1.6410509666240813,1.2996109450322775,1.624270955283513,1.6525452069723772,0.35705041885375977
75,-0.0,0.764192311936262,1.6410509666240813,1.2996109450322775,1.6265394184859767,1.665883427918705,0.3570375442504883
76,-0.0,0.6876930391968838,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6537217391861345,0.35804009437561035
77,-0.0,0.7248495792798489,1.6410509666240813,1.2996109450322775,1.6088304915777774,1.6603696680200613,0.3580176830291748
78,-0.0,0.6971478562804354,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6471227028447326,0.35707640647888184
79,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.35804295539855957
